#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      1.81e+01      8.95e-01      5.74e-01    1.0e-03
   1000      6.88e-01      4.25e-03      2.51e-02    7.5e-04
   2000      4.59e-01      9.82e-03      1.93e-02    5.6e-04
   3000      2.83e-01      2.53e-03      1.38e-02    4.2e-04
   4000      3.44e-01      1.85e-03      1.93e-02    3.2e-04
   5000      2.24e-01      3.68e-03      1.45e-02    2.4e-04
   6000      2.31e-01      2.22e-03      1.72e-02    1.8e-04
   7000      1.74e-01      1.66e-03      1.50e-02    1.3e-04
   8000      1.05e-01      2.96e-04      1.05e-02    1.0e-04
   9000      1.38e-01      4.86e-04      1.58e-02    7.5e-05
  10000      1.05e-01      4.48e-04      1.39e-02    5.6e-05
  11000      6.90e-02      7.28e-04      1.05e-02    4.2e-05
  12000      7.33e-02      1.24e-04      1.28e-02    3.2e-05
  13000      4.37e-02      1.25e-03      8.76e-03    2.4e-05
  14000      5.25e-02      9.47e-04      1.21e-02    1.8e-05
  15000      4.61e-02      4.21e-04      1.22e-02    1.3e-05
  16000      3.74e-02      1.80e-03      1.11e-02    1.0e-05
  17000      2.71e-02      1.17e-03      9.21e-03    7.5e-06
  18000      3.04e-02      6.99e-04      1.18e-02    5.6e-06
  19000      2.43e-02      2.76e-04      1.06e-02    4.2e-06
  20000      1.75e-02      3.24e-04      8.59e-03    3.2e-06
  21000      1.99e-02      2.93e-04      1.08e-02    2.4e-06
  22000      2.01e-02      1.26e-04      1.20e-02    1.8e-06
  23000      1.94e-02      5.36e-04      1.26e-02    1.3e-06
  24000      1.59e-02      3.22e-04      1.12e-02    1.0e-06
  25000      1.69e-02      5.36e-05      1.28e-02    7.5e-07
  26000      1.34e-02      9.40e-05      1.07e-02    5.6e-07
  27000      1.64e-02      1.23e-04      1.37e-02    4.2e-07
  28000      1.46e-02      2.27e-04      1.27e-02    3.2e-07
  29000      1.13e-02      7.05e-05      1.02e-02    2.4e-07
  30000      1.33e-02      1.02e-04      1.23e-02    1.8e-07
  31000      1.03e-02      8.16e-05      9.71e-03    1.3e-07
  32000      9.25e-03      8.01e-05      8.82e-03    1.0e-07
  33000      1.01e-02      7.79e-05      9.71e-03    7.5e-08
  34000      1.27e-02      1.32e-04      1.23e-02    5.6e-08
  35000      9.85e-03      1.12e-04      9.64e-03    4.2e-08
  36000      1.08e-02      6.55e-05      1.06e-02    3.2e-08
  37000      9.62e-03      7.62e-05      9.51e-03    2.4e-08
  38000      9.19e-03      7.08e-05      9.11e-03    1.8e-08
  39000      1.19e-02      1.02e-04      1.19e-02    1.3e-08
  40000      1.01e-02      8.35e-05      1.01e-02    1.0e-08
