#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  99000      2.36e-01      5.81e-04      4.77e-02    4.7e-04
 100000      2.41e-01      1.40e-03      4.92e-02    4.6e-04
 101000      6.13e-01      2.98e-02      6.87e-02    4.6e-04
 102000      2.25e-01      6.09e-04      4.67e-02    4.5e-04
 103000      3.69e-01      2.16e-03      7.63e-02    4.5e-04
 104000      3.39e-01      5.72e-03      6.83e-02    4.3e-04
 105000      2.94e-01      1.70e-03      6.16e-02    4.3e-04
 106000      2.55e-01      1.23e-03      5.43e-02    4.2e-04
 107000      2.99e-01      2.75e-03      6.31e-02    4.2e-04
 108000      2.67e-01      1.15e-03      5.76e-02    4.1e-04
 109000      2.02e-01      9.49e-04      4.37e-02    4.1e-04
 110000      2.13e-01      1.07e-03      4.67e-02    4.0e-04
 111000      2.60e-01      9.57e-04      5.71e-02    4.0e-04
 112000      2.05e-01      9.41e-04      4.55e-02    3.9e-04
 113000      2.75e-01      7.69e-04      6.13e-02    3.9e-04
 114000      2.13e-01      1.20e-03      4.79e-02    3.8e-04
 115000      2.51e-01      5.31e-03      5.27e-02    3.8e-04
 116000      2.20e-01      1.78e-03      4.98e-02    3.6e-04
 117000      2.04e-01      1.16e-03      4.66e-02    3.6e-04
 118000      2.16e-01      2.17e-03      4.93e-02    3.5e-04
 119000      3.34e-01      1.19e-02      6.00e-02    3.5e-04
 120000      2.15e-01      3.57e-03      4.85e-02    3.4e-04
 121000      2.01e-01      7.99e-04      4.72e-02    3.4e-04
 122000      2.75e-01      1.67e-03      6.54e-02    3.3e-04
 123000      2.09e-01      4.15e-04      5.00e-02    3.3e-04
 124000      1.83e-01      1.51e-03      4.39e-02    3.2e-04
 125000      2.08e-01      1.62e-04      5.04e-02    3.2e-04
 126000      1.98e-01      2.64e-03      4.72e-02    3.1e-04
 127000      2.18e-01      2.54e-04      5.35e-02    3.1e-04
 128000      1.99e-01      6.27e-05      4.95e-02    3.1e-04
 129000      2.34e-01      3.54e-03      5.61e-02    3.1e-04
 130000      2.65e-01      9.04e-04      6.68e-02    3.0e-04
 131000      2.03e-01      4.48e-03      4.69e-02    3.0e-04
 132000      6.78e-02      3.54e-04      1.73e-02    2.9e-04
 133000      2.27e-01      2.31e-03      5.71e-02    2.9e-04
 134000      1.63e-01      4.20e-04      4.22e-02    2.8e-04
 135000      2.20e-01      5.60e-03      5.06e-02    2.8e-04
 136000      1.94e-01      1.30e-03      5.07e-02    2.7e-04
 137000      3.13e-01      4.97e-04      8.22e-02    2.7e-04
 138000      2.09e-01      6.46e-03      4.61e-02    2.6e-04
 139000      2.24e-01      5.45e-05      5.96e-02    2.6e-04
 140000      2.19e-01      6.51e-05      5.92e-02    2.6e-04
 141000      1.92e-01      8.10e-05      5.20e-02    2.6e-04
 142000      1.88e-01      6.97e-04      5.15e-02    2.5e-04
 143000      1.52e-01      8.73e-04      4.14e-02    2.5e-04
 144000      1.87e-01      2.72e-03      5.02e-02    2.4e-04
 145000      1.92e-01      6.74e-04      5.31e-02    2.4e-04
 146000      1.63e-01      1.73e-03      4.49e-02    2.3e-04
 147000      1.82e-01      9.86e-04      5.09e-02    2.3e-04
 148000      1.47e-01      3.76e-05      4.21e-02    2.3e-04
 149000      1.64e-01      9.11e-04      4.65e-02    2.3e-04
 150000      7.06e-02      7.76e-03      1.76e-02    2.2e-04
 151000      2.11e-01      1.77e-03      6.02e-02    2.2e-04
 152000      1.97e-01      4.44e-03      5.24e-02    2.1e-04
 153000      1.86e-01      1.22e-03      5.41e-02    2.1e-04
 154000      1.42e-01      6.62e-04      4.20e-02    2.1e-04
 155000      1.55e-01      9.80e-04      4.57e-02    2.1e-04
 156000      1.88e-01      1.85e-04      5.65e-02    2.0e-04
 157000      1.67e-01      1.73e-03      4.92e-02    2.0e-04
 158000      1.64e-01      5.36e-05      5.01e-02    2.0e-04
 159000      2.04e-01      3.54e-03      5.90e-02    2.0e-04
 160000      9.62e-02      1.13e-02      2.49e-02    1.9e-04
 161000      1.85e-01      3.55e-05      5.72e-02    1.9e-04
 162000      1.99e-01      7.14e-03      4.62e-02    1.9e-04
 163000      1.76e-01      4.20e-04      5.51e-02    1.9e-04
 164000      2.03e-01      5.03e-04      6.42e-02    1.8e-04
 165000      1.44e-01      1.04e-03      4.53e-02    1.8e-04
 166000      1.31e-01      1.32e-03      4.15e-02    1.8e-04
 167000      1.49e-01      1.33e-04      4.79e-02    1.8e-04
 168000      1.50e-01      8.66e-04      4.87e-02    1.7e-04
 169000      5.34e-02      1.46e-03      1.72e-02    1.7e-04
 170000      1.31e-01      4.95e-04      4.32e-02    1.7e-04
 171000      1.84e-01      1.98e-03      5.97e-02    1.7e-04
 172000      1.49e-01      1.98e-03      4.81e-02    1.6e-04
 173000      1.31e-01      3.21e-05      4.39e-02    1.6e-04
 174000      1.55e-01      3.45e-04      5.26e-02    1.6e-04
 175000      1.28e-01      8.78e-04      4.30e-02    1.6e-04
 176000      1.22e-01      1.16e-03      4.13e-02    1.5e-04
 177000      1.42e-01      6.01e-04      4.85e-02    1.5e-04
 178000      6.61e-02      3.35e-03      2.16e-02    1.5e-04
 179000      1.38e-01      2.88e-03      4.40e-02    1.5e-04
 180000      1.91e-01      3.36e-03      6.35e-02    1.4e-04
 181000      1.36e-01      1.61e-03      4.68e-02    1.4e-04
 182000      1.48e-01      2.65e-03      4.98e-02    1.4e-04
 183000      1.48e-01      1.74e-03      5.16e-02    1.4e-04
 184000      1.38e-01      1.23e-03      4.91e-02    1.3e-04
 185000      1.84e-01      4.59e-03      5.84e-02    1.3e-04
 186000      1.47e-01      1.85e-04      5.39e-02    1.3e-04
 187000      1.27e-01      4.88e-04      4.63e-02    1.3e-04
 188000      1.65e-01      4.33e-04      6.12e-02    1.3e-04
 189000      2.34e-01      6.40e-03      7.41e-02    1.3e-04
 190000      1.62e-01      2.18e-03      5.88e-02    1.2e-04
 191000      1.30e-01      3.27e-03      4.29e-02    1.2e-04
 192000      1.25e-01      5.05e-04      4.72e-02    1.2e-04
 193000      1.34e-01      1.01e-03      5.05e-02    1.2e-04
 194000      1.22e-01      4.27e-04      4.69e-02    1.2e-04
 195000      1.13e-01      9.78e-04      4.31e-02    1.2e-04
 196000      1.36e-01      2.60e-03      4.93e-02    1.1e-04
 197000      1.20e-01      9.65e-05      4.68e-02    1.1e-04
 198000      1.54e-01      1.44e-03      5.97e-02    1.1e-04
 199000      1.47e-01      2.50e-03      5.48e-02    1.1e-04
 200000      1.14e-01      1.04e-03      4.49e-02    1.1e-04
 201000      1.21e-01      2.46e-03      4.44e-02    1.1e-04
 202000      1.08e-01      4.90e-04      4.34e-02    1.0e-04
 203000      9.89e-02      4.07e-04      3.99e-02    1.0e-04
 204000      1.36e-01      1.99e-03      5.35e-02    1.0e-04
 205000      1.16e-01      1.33e-05      4.74e-02    1.0e-04
 206000      1.01e-01      8.49e-05      4.17e-02    9.7e-05
 207000      1.14e-01      4.48e-04      4.72e-02    9.7e-05
 208000      9.42e-02      5.90e-04      3.93e-02    9.4e-05
 209000      1.15e-01      3.54e-04      4.81e-02    9.4e-05
 210000      9.50e-02      1.26e-03      3.90e-02    9.2e-05
 211000      1.36e-01      3.25e-04      5.79e-02    9.2e-05
 212000      9.86e-02      4.52e-04      4.22e-02    8.9e-05
 213000      6.80e-02      8.78e-04      2.91e-02    8.9e-05
 214000      1.11e-01      1.25e-03      4.70e-02    8.7e-05
 215000      1.38e-01      1.76e-03      5.82e-02    8.7e-05
 216000      1.05e-01      1.61e-03      4.40e-02    8.4e-05
 217000      1.01e-01      7.75e-04      4.38e-02    8.4e-05
 218000      1.23e-01      1.31e-03      5.35e-02    8.2e-05
 219000      1.68e-01      2.26e-03      7.21e-02    8.2e-05
 220000      1.11e-01      6.68e-04      4.97e-02    7.9e-05
 221000      9.21e-02      8.15e-04      4.09e-02    7.9e-05
 222000      1.39e-01      7.84e-04      6.30e-02    7.7e-05
 223000      9.75e-02      1.68e-03      4.20e-02    7.7e-05
 224000      1.08e-01      2.52e-03      4.46e-02    7.5e-05
 225000      9.32e-02      8.62e-04      4.23e-02    7.5e-05
 226000      1.16e-01      4.38e-04      5.41e-02    7.3e-05
 227000      1.11e-01      1.15e-03      5.08e-02    7.3e-05
 228000      1.02e-01      2.97e-04      4.80e-02    7.0e-05
 229000      9.30e-02      1.28e-03      4.23e-02    7.0e-05
 230000      1.46e-01      3.27e-05      6.95e-02    6.8e-05
 231000      1.15e-01      1.35e-03      5.33e-02    6.8e-05
 232000      1.00e-01      3.03e-04      4.83e-02    6.6e-05
 233000      7.98e-02      1.66e-04      3.85e-02    6.6e-05
 234000      1.05e-01      1.03e-03      5.05e-02    6.5e-05
 235000      9.95e-02      7.21e-04      4.81e-02    6.5e-05
 236000      1.05e-01      7.20e-04      5.14e-02    6.3e-05
 237000      1.48e-01      9.85e-04      7.24e-02    6.3e-05
 238000      9.07e-02      7.53e-05      4.53e-02    6.1e-05
 239000      8.99e-02      4.99e-05      4.49e-02    6.1e-05
 240000      8.66e-02      1.14e-03      4.23e-02    5.9e-05
 241000      9.08e-02      5.09e-04      4.56e-02    5.9e-05
 242000      1.12e-01      9.65e-04      5.65e-02    5.7e-05
 243000      9.86e-02      1.47e-03      4.82e-02    5.7e-05
 244000      4.67e-02      2.29e-03      2.27e-02    5.6e-05
 245000      9.32e-02      1.53e-03      4.56e-02    5.6e-05
 246000      1.28e-01      9.70e-04      6.58e-02    5.4e-05
 247000      7.60e-02      3.07e-04      3.95e-02    5.4e-05
 248000      9.92e-02      3.39e-04      5.22e-02    5.3e-05
 249000      9.62e-02      7.38e-04      5.02e-02    5.3e-05
 250000      7.61e-02      1.75e-04      4.05e-02    5.1e-05
 251000      8.80e-02      1.17e-03      4.53e-02    5.1e-05
 252000      8.55e-02      1.83e-03      4.19e-02    5.0e-05
 253000      1.23e-01      4.06e-03      5.12e-02    5.0e-05
 254000      1.44e-01      4.90e-04      7.81e-02    4.8e-05
 255000      7.42e-02      2.03e-04      4.03e-02    4.8e-05
 256000      7.60e-02      1.15e-03      4.00e-02    4.7e-05
 257000      9.46e-02      1.36e-03      4.99e-02    4.7e-05
 258000      7.36e-02      7.10e-04      4.01e-02    4.5e-05
 259000      8.32e-02      1.16e-03      4.44e-02    4.5e-05
 260000      7.87e-02      8.00e-04      4.32e-02    4.4e-05
 261000      1.04e-01      6.28e-04      5.77e-02    4.4e-05
 262000      8.40e-02      1.82e-03      4.32e-02    4.3e-05
 263000      7.78e-02      1.62e-04      4.40e-02    4.3e-05
 264000      7.33e-02      1.29e-05      4.19e-02    4.2e-05
 265000      9.33e-02      4.55e-04      5.31e-02    4.2e-05
 266000      8.42e-02      3.02e-05      4.87e-02    4.0e-05
 267000      7.03e-02      3.42e-04      4.04e-02    4.0e-05
 268000      7.64e-02      1.33e-03      4.19e-02    3.9e-05
 269000      8.05e-02      1.48e-03      4.38e-02    3.9e-05
 270000      1.06e-01      6.21e-04      6.18e-02    3.8e-05
 271000      8.45e-02      8.52e-04      4.88e-02    3.8e-05
 272000      1.22e-01      8.86e-04      7.19e-02    3.7e-05
 273000      9.49e-02      3.17e-04      5.63e-02    3.7e-05
 274000      1.22e-01      6.55e-04      7.31e-02    3.6e-05
 275000      8.13e-02      8.17e-04      4.79e-02    3.6e-05
 276000      7.55e-02      1.14e-05      4.57e-02    3.5e-05
 277000      1.15e-01      3.94e-04      6.93e-02    3.5e-05
 278000      4.10e-02      2.64e-03      2.25e-02    3.4e-05
 279000      7.36e-02      1.89e-04      4.50e-02    3.4e-05
 280000      1.24e-01      9.65e-05      7.63e-02    3.3e-05
 281000      7.11e-02      5.33e-04      4.34e-02    3.3e-05
 282000      8.19e-02      7.06e-04      5.03e-02    3.2e-05
 283000      6.58e-02      4.43e-04      4.06e-02    3.2e-05
 284000      6.86e-02      5.39e-04      4.26e-02    3.1e-05
 285000      7.16e-02      2.63e-04      4.48e-02    3.1e-05
 286000      9.52e-02      3.33e-04      6.02e-02    3.0e-05
 287000      9.60e-02      1.22e-03      5.89e-02    3.0e-05
 288000      9.01e-02      5.11e-04      5.72e-02    2.9e-05
 289000      1.25e-01      1.26e-03      7.87e-02    2.9e-05
 290000      8.05e-02      7.08e-04      5.11e-02    2.8e-05
 291000      8.98e-02      5.83e-04      5.74e-02    2.8e-05
 292000      6.53e-02      8.64e-04      4.10e-02    2.8e-05
 293000      7.00e-02      7.88e-04      4.44e-02    2.8e-05
 294000      6.79e-02      5.29e-04      4.40e-02    2.7e-05
 295000      7.89e-02      1.05e-03      4.99e-02    2.7e-05
 296000      7.65e-02      5.20e-04      5.02e-02    2.6e-05
 297000      7.35e-02      1.04e-03      4.67e-02    2.6e-05
 298000      8.63e-02      5.21e-04      5.71e-02    2.5e-05
 299000      6.53e-02      3.10e-04      4.34e-02    2.5e-05
 300000      6.54e-02      5.25e-04      4.34e-02    2.4e-05
 301000      6.74e-02      8.92e-05      4.53e-02    2.4e-05
 302000      6.32e-02      5.57e-04      4.22e-02    2.4e-05
 303000      7.02e-02      6.94e-04      4.67e-02    2.4e-05
 304000      6.25e-02      3.86e-04      4.24e-02    2.3e-05
 305000      6.44e-02      2.85e-04      4.38e-02    2.3e-05
 306000      7.28e-02      5.98e-04      4.94e-02    2.2e-05
 307000      7.49e-02      1.06e-03      4.95e-02    2.2e-05
 308000      7.96e-02      7.12e-04      5.44e-02    2.2e-05
 309000      5.91e-02      1.79e-04      4.09e-02    2.2e-05
 310000      6.97e-02      1.00e-03      4.68e-02    2.1e-05
 311000      5.43e-02      3.46e-04      3.77e-02    2.1e-05
 312000      4.96e-02      1.04e-03      3.42e-02    2.1e-05
 313000      6.37e-02      1.76e-04      4.48e-02    2.1e-05
 314000      6.47e-02      8.46e-05      4.59e-02    2.0e-05
 315000      5.85e-02      1.93e-06      4.15e-02    2.0e-05
 316000      7.28e-02      5.91e-04      5.14e-02    1.9e-05
 317000      8.07e-02      8.30e-04      5.65e-02    1.9e-05
 318000      6.85e-02      1.25e-04      4.92e-02    1.9e-05
 319000      5.92e-02      3.40e-04      4.24e-02    1.9e-05
 320000      6.49e-02      1.07e-03      4.45e-02    1.8e-05
 321000      6.65e-02      1.08e-03      4.58e-02    1.8e-05
 322000      5.39e-02      1.00e-03      3.67e-02    1.8e-05
 323000      3.69e-02      2.45e-03      2.39e-02    1.8e-05
 324000      7.84e-02      4.15e-04      5.73e-02    1.7e-05
 325000      7.81e-02      5.25e-04      5.69e-02    1.7e-05
 326000      7.14e-02      1.97e-04      5.28e-02    1.7e-05
 327000      6.65e-02      1.84e-04      4.91e-02    1.7e-05
 328000      3.09e-02      3.09e-03      1.67e-02    1.6e-05
 329000      5.43e-02      3.30e-04      4.02e-02    1.6e-05
 330000      5.45e-02      4.07e-04      4.04e-02    1.6e-05
 331000      5.78e-02      8.35e-06      4.33e-02    1.6e-05
 332000      6.64e-02      2.33e-04      5.00e-02    1.5e-05
 333000      6.28e-02      7.64e-04      4.60e-02    1.5e-05
 334000      6.49e-02      1.63e-04      4.92e-02    1.5e-05
 335000      6.53e-02      6.27e-04      4.87e-02    1.5e-05
 336000      5.67e-02      1.12e-04      4.33e-02    1.4e-05
 337000      7.55e-02      2.45e-04      5.75e-02    1.4e-05
 338000      5.50e-02      3.84e-04      4.19e-02    1.4e-05
 339000      6.52e-02      4.26e-04      4.97e-02    1.4e-05
 340000      5.89e-02      3.78e-04      4.51e-02    1.4e-05
 341000      5.90e-02      1.21e-04      4.56e-02    1.4e-05
 342000      6.61e-02      1.53e-03      4.58e-02    1.3e-05
 343000      4.89e-02      6.70e-05      3.80e-02    1.3e-05
 344000      5.37e-02      3.11e-04      4.17e-02    1.3e-05
 345000      7.16e-02      5.06e-04      5.54e-02    1.3e-05
 346000      6.45e-02      6.06e-04      4.98e-02    1.2e-05
 347000      5.17e-02      4.18e-04      4.01e-02    1.2e-05
 348000      4.78e-02      7.62e-04      3.59e-02    1.2e-05
 349000      5.75e-02      3.53e-05      4.55e-02    1.2e-05
 350000      5.83e-02      5.08e-05      4.63e-02    1.2e-05
 351000      7.87e-02      2.37e-04      6.24e-02    1.2e-05
 352000      5.36e-02      3.63e-04      4.25e-02    1.1e-05
 353000      5.25e-02      7.02e-04      4.05e-02    1.1e-05
 354000      5.27e-02      1.51e-04      4.23e-02    1.1e-05
 355000      8.89e-02      1.39e-04      7.14e-02    1.1e-05
 356000      7.84e-02      6.30e-05      6.33e-02    1.1e-05
 357000      5.68e-02      3.12e-04      4.56e-02    1.1e-05
 358000      8.62e-02      3.03e-04      6.98e-02    1.0e-05
 359000      5.53e-02      9.55e-04      4.23e-02    1.0e-05
 360000      4.52e-02      5.06e-04      3.60e-02    1.0e-05
 361000      5.15e-02      4.35e-04      4.14e-02    1.0e-05
 362000      5.67e-02      3.05e-04      4.63e-02    9.9e-06
 363000      5.67e-02      2.40e-04      4.63e-02    9.9e-06
 364000      4.74e-02      1.04e-03      3.82e-02    9.6e-06
 365000      5.33e-02      2.30e-04      4.37e-02    9.6e-06
 366000      5.09e-02      6.92e-05      4.21e-02    9.3e-06
 367000      2.70e-02      1.00e-03      2.16e-02    9.3e-06
 368000      4.29e-02      6.24e-04      3.42e-02    9.0e-06
 369000      5.28e-02      4.72e-04      4.32e-02    9.0e-06
 370000      5.00e-02      1.84e-04      4.16e-02    8.8e-06
 371000      3.57e-02      3.30e-04      2.97e-02    8.8e-06
 372000      4.89e-02      2.69e-04      4.08e-02    8.5e-06
 373000      6.07e-02      7.76e-04      4.93e-02    8.5e-06
 374000      6.36e-02      2.58e-04      5.34e-02    8.3e-06
 375000      5.14e-02      4.74e-05      4.33e-02    8.3e-06
 376000      4.93e-02      2.68e-04      4.14e-02    8.0e-06
 377000      9.01e-02      6.89e-04      7.54e-02    8.0e-06
 378000      6.53e-02      4.34e-04      5.50e-02    7.8e-06
 379000      5.46e-02      5.06e-04      4.56e-02    7.8e-06
 380000      4.80e-02      2.06e-04      4.08e-02    7.6e-06
 381000      5.27e-02      4.21e-04      4.44e-02    7.6e-06
 382000      5.21e-02      1.48e-04      4.46e-02    7.4e-06
 383000      5.47e-02      1.59e-04      4.68e-02    7.4e-06
 384000      6.35e-02      1.33e-03      4.98e-02    7.1e-06
 385000      5.22e-02      4.28e-04      4.43e-02    7.1e-06
 386000      4.92e-02      5.99e-04      4.12e-02    6.9e-06
 387000      6.17e-02      6.37e-04      5.21e-02    6.9e-06
 388000      5.49e-02      3.49e-05      4.76e-02    6.7e-06
 389000      4.91e-02      1.06e-04      4.25e-02    6.7e-06
 390000      5.36e-02      2.02e-04      4.65e-02    6.5e-06
 391000      6.08e-02      5.63e-05      5.29e-02    6.5e-06
 392000      4.54e-02      5.42e-05      3.96e-02    6.3e-06
 393000      4.88e-02      2.83e-04      4.23e-02    6.3e-06
 394000      4.46e-02      1.18e-04      3.90e-02    6.2e-06
 395000      4.86e-02      2.40e-04      4.23e-02    6.2e-06
 396000      4.73e-02      2.64e-04      4.13e-02    6.0e-06
 397000      4.44e-02      1.51e-04      3.89e-02    6.0e-06
 398000      2.28e-02      2.10e-04      2.01e-02    5.8e-06
 399000      4.55e-02      2.62e-04      3.98e-02    5.8e-06
 400000      5.75e-02      8.72e-04      4.85e-02    5.6e-06
 401000      6.60e-02      9.25e-04      5.61e-02    5.6e-06
 402000      4.60e-02      2.10e-04      4.07e-02    5.5e-06
 403000      5.17e-02      8.23e-05      4.58e-02    5.5e-06
 404000      5.10e-02      6.62e-04      4.39e-02    5.3e-06
 405000      4.79e-02      2.78e-04      4.24e-02    5.3e-06
 406000      4.70e-02      2.70e-04      4.17e-02    5.2e-06
 407000      4.56e-02      1.43e-04      4.06e-02    5.2e-06
 408000      4.92e-02      5.82e-04      4.28e-02    5.0e-06
 409000      5.95e-02      6.96e-04      5.18e-02    5.0e-06
 410000      6.56e-02      5.08e-04      5.82e-02    4.9e-06
 411000      5.27e-02      2.20e-05      4.73e-02    4.9e-06
 412000      7.85e-02      3.85e-04      7.04e-02    4.7e-06
 413000      5.12e-02      6.08e-04      4.48e-02    4.7e-06
 414000      5.08e-02      2.20e-04      4.57e-02    4.6e-06
