#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      1.16e+01      1.72e-01      3.67e-01    1.0e-03
   1000      9.58e-01      1.08e-02      3.50e-02    7.5e-04
   2000      5.67e-01      1.16e-02      2.39e-02    5.6e-04
   3000      4.61e-01      1.93e-03      2.24e-02    4.2e-04
   4000      4.15e-01      3.77e-03      2.33e-02    3.2e-04
   5000      2.32e-01      2.30e-03      1.50e-02    2.4e-04
   6000      1.91e-01      4.23e-04      1.43e-02    1.8e-04
   7000      2.17e-01      1.75e-03      1.87e-02    1.3e-04
   8000      1.19e-01      2.05e-03      1.19e-02    1.0e-04
   9000      1.20e-01      2.08e-03      1.38e-02    7.5e-05
  10000      9.68e-02      1.81e-03      1.28e-02    5.6e-05
  11000      6.44e-02      3.30e-04      9.81e-03    4.2e-05
  12000      4.75e-02      2.63e-04      8.31e-03    3.2e-05
  13000      6.24e-02      2.17e-04      1.26e-02    2.4e-05
  14000      4.20e-02      9.63e-05      9.71e-03    1.8e-05
  15000      4.15e-02      3.39e-04      1.10e-02    1.3e-05
  16000      3.25e-02      1.21e-03      9.73e-03    1.0e-05
  17000      2.74e-02      7.48e-05      9.39e-03    7.5e-06
  18000      2.64e-02      1.27e-04      1.03e-02    5.6e-06
  19000      1.89e-02      5.53e-04      8.23e-03    4.2e-06
  20000      1.49e-02      7.43e-05      7.28e-03    3.2e-06
  21000      1.48e-02      7.86e-05      8.09e-03    2.4e-06
  22000      2.06e-02      8.30e-05      1.23e-02    1.8e-06
  23000      2.12e-02      9.28e-05      1.39e-02    1.3e-06
  24000      1.22e-02      1.05e-04      8.61e-03    1.0e-06
  25000      1.21e-02      2.57e-04      9.12e-03    7.5e-07
  26000      1.62e-02      7.40e-05      1.30e-02    5.6e-07
  27000      1.26e-02      1.29e-04      1.05e-02    4.2e-07
  28000      1.35e-02      1.29e-04      1.18e-02    3.2e-07
  29000      6.91e-03      8.31e-05      6.21e-03    2.4e-07
  30000      1.31e-02      1.06e-04      1.21e-02    1.8e-07
  31000      1.05e-02      1.25e-04      9.81e-03    1.3e-07
  32000      9.80e-03      6.24e-05      9.35e-03    1.0e-07
  33000      1.30e-02      1.09e-04      1.26e-02    7.5e-08
  34000      8.26e-03      9.88e-05      8.03e-03    5.6e-08
  35000      8.07e-03      7.09e-05      7.90e-03    4.2e-08
  36000      1.03e-02      1.06e-04      1.01e-02    3.2e-08
  37000      1.03e-02      9.65e-05      1.02e-02    2.4e-08
  38000      8.62e-03      7.94e-05      8.54e-03    1.8e-08
  39000      8.74e-03      7.60e-05      8.68e-03    1.3e-08
  40000      1.07e-02      9.93e-05      1.06e-02    1.0e-08
