#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.67e+01      6.05e-02      8.44e-01    1.0e-03
   1000      1.49e+00      4.44e-03      5.43e-02    7.5e-04
   2000      7.80e-01      3.03e-02      3.28e-02    5.6e-04
   3000      4.84e-01      2.95e-03      2.36e-02    4.2e-04
   4000      2.52e-01      1.09e-02      1.41e-02    3.2e-04
   5000      2.70e-01      9.18e-03      1.74e-02    2.4e-04
   6000      1.29e-01      9.62e-04      9.63e-03    1.8e-04
   7000      1.38e-01      1.55e-03      1.19e-02    1.3e-04
   8000      1.02e-01      2.25e-04      1.02e-02    1.0e-04
   9000      8.46e-02      7.42e-05      9.71e-03    7.5e-05
  10000      5.93e-02      4.24e-04      7.84e-03    5.6e-05
  11000      6.11e-02      4.14e-04      9.30e-03    4.2e-05
  12000      6.80e-02      1.17e-03      1.19e-02    3.2e-05
  13000      5.08e-02      8.75e-04      1.02e-02    2.4e-05
  14000      3.32e-02      6.27e-04      7.66e-03    1.8e-05
  15000      3.26e-02      5.76e-04      8.61e-03    1.3e-05
  16000      4.02e-02      1.07e-04      1.21e-02    1.0e-05
  17000      3.16e-02      3.93e-04      1.08e-02    7.5e-06
  18000      2.57e-02      2.11e-04      9.99e-03    5.6e-06
  19000      2.52e-02      4.76e-04      1.10e-02    4.2e-06
  20000      2.02e-02      1.46e-04      9.88e-03    3.2e-06
  21000      1.92e-02      3.58e-04      1.04e-02    2.4e-06
  22000      1.50e-02      1.52e-04      9.02e-03    1.8e-06
  23000      1.57e-02      2.00e-04      1.03e-02    1.3e-06
  24000      1.12e-02      8.03e-05      7.95e-03    1.0e-06
  25000      1.13e-02      1.20e-04      8.56e-03    7.5e-07
  26000      1.07e-02      4.16e-05      8.54e-03    5.6e-07
  27000      1.07e-02      2.06e-04      8.97e-03    4.2e-07
  28000      1.08e-02      1.79e-04      9.38e-03    3.2e-07
  29000      9.55e-03      1.17e-04      8.58e-03    2.4e-07
  30000      1.23e-02      1.10e-04      1.13e-02    1.8e-07
  31000      9.53e-03      1.21e-04      8.95e-03    1.3e-07
  32000      7.94e-03      7.24e-05      7.57e-03    1.0e-07
  33000      8.79e-03      8.73e-05      8.47e-03    7.5e-08
  34000      9.04e-03      4.66e-05      8.79e-03    5.6e-08
  35000      1.28e-02      1.04e-04      1.26e-02    4.2e-08
  36000      1.03e-02      1.07e-04      1.01e-02    3.2e-08
  37000      9.77e-03      9.48e-05      9.65e-03    2.4e-08
  38000      9.67e-03      8.12e-05      9.58e-03    1.8e-08
  39000      6.95e-03      8.08e-05      6.90e-03    1.3e-08
  40000      9.42e-03      7.93e-05      9.37e-03    1.0e-08
